Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty,Production Lead Time,Revised Original Date Difference,Order Day,Order Year,Order Month
867536091,0,0,4,4,1,1,0,0,0,6,5,3,53,109,0,2023,92,50,1,5.739999999999999,286.99999999999994,0,0,1684454400.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,19,2023,5
867536092,0,0,4,4,1,1,0,0,0,6,5,3,54,109,0,2023,89,45,1,5.739999999999999,258.29999999999995,0,0,1684454400.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,19,2023,5
867536093,0,0,4,4,1,1,0,0,0,6,5,3,55,109,0,2023,95,25,1,5.739999999999999,143.49999999999997,0,0,1684454400.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,19,2023,5
867536094,0,0,4,4,1,1,0,0,0,6,5,3,56,109,0,2023,98,5,1,5.739999999999999,28.699999999999996,0,0,1684454400.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,19,2023,5
867536095,0,1,4,4,1,1,1,0,0,6,5,3,57,110,11,2024,93,30,1,6.138999999999999,184.17,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536096,0,1,4,4,1,1,1,0,0,6,5,3,58,110,11,2024,92,226,1,6.138999999999999,1387.4139999999998,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536097,0,1,4,4,1,1,1,0,0,6,5,3,59,110,11,2024,89,267,1,6.138999999999999,1639.1129999999998,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536098,0,1,4,4,1,1,1,0,0,6,5,3,60,110,11,2024,95,90,1,6.138999999999999,552.51,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536103,0,0,4,4,0,1,0,0,0,6,8,4,61,582,0,2023,97,15,1,4.199999999999999,62.999999999999986,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536104,0,0,4,4,0,1,0,0,0,6,8,4,62,582,0,2023,93,35,1,4.199999999999999,146.99999999999997,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536105,0,0,4,4,0,1,0,0,0,6,8,4,63,582,0,2023,92,35,1,4.199999999999999,146.99999999999997,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536106,0,0,4,4,0,1,0,0,0,6,8,4,64,582,0,2023,89,15,1,4.199999999999999,62.999999999999986,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536107,0,0,4,4,0,1,0,0,0,6,8,4,65,7,0,2023,97,15,1,4.199999999999999,62.999999999999986,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536108,0,0,4,4,0,1,0,0,0,6,8,4,66,7,0,2023,93,35,1,4.199999999999999,146.99999999999997,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536109,0,0,4,4,0,1,0,0,0,6,8,4,67,7,0,2023,92,35,1,4.199999999999999,146.99999999999997,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536110,0,0,4,4,0,1,0,0,0,6,8,4,68,7,0,2023,89,15,1,4.199999999999999,62.999999999999986,0,0,1690761600.0,1689811200.0,1690329600.0,1683590400.0,1690761600.0,1,1,50,-78,83,31,2023,7
867536113,0,1,4,4,0,1,1,0,0,6,8,4,69,7,11,2024,95,10,1,4.199999999999999,41.99999999999999,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536123,0,1,4,4,0,1,1,0,0,6,8,4,70,78,11,2024,97,20,1,4.718,94.36,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536124,0,1,4,4,0,1,1,0,0,6,8,4,71,78,11,2024,93,45,1,4.718,212.31,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536125,0,1,4,4,0,1,1,0,0,6,8,4,72,78,11,2024,92,40,1,4.718,188.72,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536126,0,1,4,4,0,1,1,0,0,6,8,4,73,78,11,2024,89,30,1,4.718,141.54,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536127,0,0,4,4,0,1,0,0,0,6,5,5,74,109,0,2023,93,15,1,4.97,74.55,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536128,0,0,4,4,0,1,0,0,0,6,5,5,75,109,0,2023,92,30,1,4.97,149.1,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536129,0,0,4,4,0,1,0,0,0,6,5,5,76,109,0,2023,89,30,1,4.97,149.1,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536130,0,0,4,4,0,1,0,0,0,6,5,5,77,109,0,2023,95,20,1,4.97,99.4,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536131,0,0,4,4,0,1,0,0,0,6,5,5,78,109,0,2023,98,5,1,4.97,24.85,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536132,0,1,4,4,0,1,1,0,0,6,5,5,79,110,11,2024,93,20,1,5.739999999999999,114.79999999999998,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536133,0,1,4,4,0,1,1,0,0,6,5,5,80,110,11,2024,92,35,1,5.739999999999999,200.9,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
